Date,Price,Volume
2015-12-11,7.98,3181500
2015-12-14,7.92,2918000
2015-12-15,8.05,2918000
2015-12-17,8.12,2818500
2016-01-11,7.45,3425000
2016-01-12,7.04,3425000
2016-01-14,7.05,3425000
2016-01-15,6.71,3495000
2016-01-18,6.52,3425000
2016-01-19,6.81,3425000
2016-01-21,6.04,3425000
2016-01-22,6.33,3495000
2016-01-25,5.93,3425000
2016-01-26,5.8,3425000
2016-01-28,6.02,3425000
2016-01-29,6.06,3495000
2016-02-01,5.75,3425000
2016-02-02,5.57,3425000
2016-02-03,5.7,3526000
2016-02-04,5.55,3425000
2016-02-05,5.55,3495000
2016-02-08,5.25,3425000
2016-02-09,5.19,3425000
2016-02-11,4.65,3425000
2016-02-12,4.94,3495000
2016-02-15,4.97,3425000
2016-02-16,4.78,3425000
2016-02-18,5.22,3425000
2016-02-19,5.26,3495000
2016-02-22,5.2,3425000
2016-02-23,5.14,3425000
2016-02-25,4.78,3425000
2016-02-26,5.08,3495000
2016-02-29,4.85,3425000
2016-03-01,4.9,3425000
2016-03-02,4.8,3526000
2016-03-03,4.88,3425000
2016-03-04,4.8,3495000
2016-03-07,4.95,3425000
2016-03-08,5.0,3425000
2016-03-10,5.0,3425000
2016-03-11,5.01,3495000
2016-03-14,4.92,3425000
2016-03-15,4.81,3425000
2016-03-17,4.92,3425000
2016-03-18,4.92,3495000
2016-03-21,4.86,3425000
2016-03-22,4.8,3425000
2016-03-24,4.76,3425000
2016-03-29,4.75,3425000
2016-03-30,4.77,3526000
2016-03-31,4.97,3425000
2016-04-01,5.18,3495000
2016-04-04,5.08,3425000
2016-04-05,5.26,3425000
2016-04-07,5.23,3425000
2016-04-08,5.23,3495000
2016-04-11,5.42,3425000
2016-04-12,5.63,3425000
2016-04-14,5.47,3425000
2016-04-15,5.54,3495000
2016-04-18,5.38,3425000
2016-04-19,5.47,3425000
2016-04-21,5.58,3425000
2016-04-22,5.74,3495000
2016-04-25,5.92,3425000
2016-04-26,6.08,3425000
2016-04-27,6.94,3526000
2016-04-28,6.64,3425000
2016-04-29,6.29,3495000
2016-05-03,5.88,3425000
2016-05-06,6.13,3495000
2016-05-09,5.96,3425000
2016-05-10,5.65,3425000
2016-05-12,6.04,3425000
2016-05-13,5.75,3495000
2016-05-17,5.94,3425000
2016-05-19,5.87,3425000
2016-05-20,5.95,3495000
2016-05-23,5.85,3425000
2016-05-24,5.73,3425000
2016-05-27,5.9,3495000
2016-05-31,6.0,3425000
2016-06-02,5.96,3425000
2016-06-03,5.96,3495000
2016-06-06,6.05,3425000
2016-06-07,6.14,3425000
2016-06-09,6.05,3425000
2016-06-10,5.93,3495000
2016-06-13,5.83,3425000
2016-06-14,5.78,3425000
2016-06-16,5.82,3425000
2016-06-17,5.68,3495000
2016-06-20,5.76,3425000
2016-06-21,5.68,3425000
2016-06-22,5.55,4407500
2016-06-23,5.6,3425000
2016-06-24,4.96,3495000
2016-06-27,4.86,3425000
2016-06-28,4.8,3425000
2016-06-30,4.47,3425000
2016-07-01,4.35,3495000
2016-07-04,4.77,3425000
2016-07-05,4.86,3425000
2016-07-07,4.7,3425000
2016-07-08,4.45,3495000
2016-07-11,4.45,3425000
2016-07-12,4.53,3425000
2016-07-14,4.79,3425000
2016-07-15,4.65,3495000
2016-07-18,4.97,3425000
2016-07-19,4.75,3425000
2016-07-20,4.65,4407500
2016-07-21,4.7,3425000
2016-07-22,4.6,3495000
2016-07-25,4.56,3425000
2016-07-26,4.51,3425000
2016-07-28,4.58,3425000
2016-07-29,4.38,3495000
2016-08-01,4.38,1712500
2016-08-02,4.32,1712500
2016-08-04,4.6,1712500
2016-08-05,4.75,1747500
2016-08-08,4.79,1712500
2016-08-09,4.87,1712500
2016-08-11,4.75,1712500
2016-08-12,4.86,1747500
2016-08-16,4.78,1712500
2016-08-17,4.65,2644500
2016-08-18,4.55,1712500
2016-08-19,4.71,1747500
2016-08-26,4.71,1747500
2016-09-02,4.32,3495000
2016-09-05,4.02,3664000
2016-09-06,3.94,3664000
2016-09-08,4.02,3664000
2016-09-09,4.07,3495000
2016-09-12,3.94,3664000
2016-09-13,3.97,3664000
2016-09-15,3.94,3664000
2016-09-16,4.26,3495000
2016-09-19,4.23,3664000
2016-09-20,4.3,3664000
2016-09-22,4.33,3664000
2016-09-23,4.38,3495000
2016-09-26,4.5,3664000
2016-09-27,4.51,3664000
2016-09-29,5.06,3664000
2016-09-30,5.0,3495000
2016-10-04,5.17,3664000
2016-10-06,5.68,3664000
2016-10-07,5.62,3495000
2016-10-10,5.53,3664000
2016-10-11,5.58,3664000
2016-10-13,5.59,3664000
2016-10-14,5.65,3495000
2016-10-17,5.84,3664000
2016-10-18,5.89,3664000
2016-10-20,5.7,3664000
2016-10-21,5.58,3495000
2016-10-24,5.92,3664000
2016-10-25,5.78,3664000
2016-10-27,5.9,3664000
2016-10-28,5.7,3495000
2016-10-31,5.76,3664000
2016-11-03,6.35,3664000
2016-11-04,6.54,3495000
2016-11-07,6.46,3664000
2016-11-08,6.1,3664000
2016-11-10,5.95,3664000
2016-11-11,5.85,3495000
2016-11-14,5.54,3664000
2016-11-15,5.55,3664000
2016-11-17,5.6,3664000
2016-11-18,5.73,3495000
2016-11-21,5.44,3664000
2016-11-22,5.42,3664000
2016-11-24,5.29,3664000
2016-11-25,5.05,3495000
2016-11-28,4.8,3664000
2016-11-29,4.56,3664000
2016-12-01,4.44,3664000
2016-12-02,4.32,3495000
2016-12-05,4.16,3664000
2016-12-06,4.15,3664000
2016-12-08,4.23,3664000
2016-12-09,4.48,3495000
2016-12-12,4.65,3664000
2016-12-13,4.82,3664000
2016-12-15,4.96,3684500
2016-12-16,4.59,3495500
2017-01-09,5.0,4261500
2017-01-10,5.6,4261500
2017-01-12,5.3,4261500
2017-01-13,5.06,4473000
2017-01-16,4.96,4261500
2017-01-17,4.8,4261500
2017-01-19,4.88,4261500
2017-01-20,5.16,4473000
2017-01-23,5.34,4261500
2017-01-24,5.23,4261500
2017-01-26,4.93,4261500
2017-01-27,5.05,4473000
2017-01-30,4.99,4261500
2017-01-31,5.2,4261500
2017-02-02,5.24,4261500
2017-02-03,5.22,4473000
2017-02-06,5.08,4261500
2017-02-07,5.08,4261500
2017-02-09,5.25,4261500
2017-02-10,5.3,4473000
2017-02-13,5.07,4261500
2017-02-14,4.95,4261500
2017-02-16,4.96,4261500
2017-02-17,4.85,4473000
2017-02-20,5.05,4261500
2017-02-21,5.09,4261500
2017-02-23,5.17,4261500
2017-02-24,5.31,4473000
2017-02-27,5.28,4261500
2017-02-28,5.15,4261500
2017-03-02,5.74,4261500
2017-03-03,5.55,4473000
2017-03-06,5.47,4261500
2017-03-07,5.43,4261500
2017-03-09,5.16,4261500
2017-03-10,5.08,4473000
2017-03-13,5.11,4261500
2017-03-14,5.16,4261500
2017-03-16,5.07,4261500
2017-03-17,5.13,4473000
2017-03-20,5.05,4261500
2017-03-21,4.93,4261500
2017-03-23,4.98,4261500
2017-03-24,4.88,4473000
2017-03-27,4.67,4261500
2017-03-28,4.63,4261500
2017-03-29,4.71,5738500
2017-03-30,4.63,4261500
2017-03-31,4.85,4473000
2017-04-03,4.7,4261500
2017-04-04,4.78,4261500
2017-04-06,4.86,4261500
2017-04-07,5.06,4473000
2017-04-10,4.84,4261500
2017-04-11,4.77,4261500
2017-04-12,4.84,4857000
2017-04-13,4.93,4261500
2017-04-18,4.85,4261500
2017-04-20,4.76,4261500
2017-04-21,4.73,4473000
2017-04-24,4.7,4261500
2017-04-25,4.62,4261500
2017-04-26,4.49,4857000
2017-04-27,4.57,4261500
2017-04-28,4.52,4473000
2017-05-02,4.48,4261500
2017-05-04,4.35,4261500
2017-05-05,4.52,4473000
2017-05-08,4.45,4261500
2017-05-09,4.37,4261500
2017-05-10,4.49,4857000
2017-05-11,4.37,4261500
2017-05-12,4.26,4473000
2017-05-15,4.41,4261500
2017-05-16,4.45,4261500
2017-05-18,4.68,4261500
2017-05-19,4.77,4473000
2017-05-22,4.87,4261500
2017-05-23,4.88,4261500
2017-05-24,4.81,4857000
2017-05-30,5.1,4261500
2017-06-01,5.05,4261500
2017-06-02,5.07,4473000
2017-06-06,5.16,4261500
2017-06-07,4.97,4857000
2017-06-08,4.96,4261500
2017-06-09,4.98,4473000
2017-06-12,5.03,4261500
2017-06-13,4.99,4261500
2017-06-19,4.84,4261500
2017-06-20,4.99,4261500
2017-06-21,4.95,4857000
2017-06-22,4.81,4261500
2017-06-23,4.87,4473000
2017-06-26,4.84,4261500
2017-06-27,4.8,4261500
2017-06-29,5.05,4261500
2017-06-30,5.02,4473000
2017-07-03,4.98,4261500
2017-07-04,5.06,4261500
2017-07-05,5.1,4857000
2017-07-06,5.07,4261500
2017-07-07,5.24,4473000
2017-07-10,5.5,4261500
2017-07-11,5.37,4261500
2017-07-13,5.46,4261500
2017-07-14,5.27,4473000
2017-07-17,5.4,4261500
2017-07-18,5.46,4261500
2017-07-19,5.39,4857000
2017-07-20,5.35,4261500
2017-07-21,5.23,4473000
2017-07-24,5.04,4261500
2017-07-25,5.12,4261500
2017-07-27,5.2,4261500
2017-07-28,5.06,4473000
2017-07-31,5.23,4261500
2017-08-01,5.6,2131500
2017-08-02,5.29,2428500
2017-08-03,5.38,2131500
2017-08-04,5.33,2236500
2017-08-07,5.24,2131500
2017-08-08,5.26,2131500
2017-08-10,5.4,2131500
2017-08-11,5.35,2236500
